,0,1
3,0_1004_with_mask.png,1
5,0_1008_without_mask.png,0
11,0_1015_with_mask.png,1
14,0_1017_with_mask.png,1
16,0_1020_with_mask.png,1
17,0_1021_without_mask.png,0
20,0_1027_with_mask.png,1
22,0_102_without_mask.png,0
33,0_1055_without_mask.png,0
41,0_1065_with_mask.png,1
51,0_1079_without_mask.png,0
53,0_107_with_mask.png,1
64,0_1094_without_mask.png,0
66,0_109_with_mask.png,1
83,0_1124_without_mask.png,0
89,0_1131_without_mask.png,0
92,0_1134_with_mask.png,1
94,0_1137_without_mask.png,0
97,0_113_without_mask.png,0
103,0_114_with_mask.png,1
105,0_1151_without_mask.png,0
106,0_1152_without_mask.png,0
112,0_1159_without_mask.png,0
113,0_1159_with_mask.png,1
120,0_1166_with_mask.png,1
121,0_1167_without_mask.png,0
128,0_1177_with_mask.png,1
135,0_1182_with_mask.png,1
136,0_1185_without_mask.png,0
139,0_1189_with_mask.png,1
157,0_1214_without_mask.png,0
158,0_1214_with_mask.png,1
159,0_1215_without_mask.png,0
160,0_1217_without_mask.png,0
162,0_1219_with_mask.png,1
168,0_1224_without_mask.png,0
173,0_1231_without_mask.png,0
175,0_1232_without_mask.png,0
177,0_1239_with_mask.png,1
180,0_1243_without_mask.png,0
195,0_125_with_mask.png,1
207,0_1281_without_mask.png,0
213,0_1290_with_mask.png,1
214,0_1291_with_mask.png,1
227,0_1315_with_mask.png,1
232,0_1329_without_mask.png,0
234,0_1337_without_mask.png,0
236,0_133_without_mask.png,0
242,0_1352_with_mask.png,1
251,0_1371_with_mask.png,1
252,0_1372_without_mask.png,0
256,0_1378_without_mask.png,0
278,0_1402_with_mask.png,1
290,0_1415_with_mask.png,1
294,0_1420_without_mask.png,0
300,0_1433_without_mask.png,0
305,0_1438_without_mask.png,0
308,0_143_without_mask.png,0
310,0_1442_without_mask.png,0
312,0_1445_with_mask.png,1
313,0_1446_with_mask.png,1
317,0_1452_with_mask.png,1
329,0_1463_without_mask.png,0
340,0_1474_without_mask.png,0
345,0_1483_without_mask.png,0
348,0_1485_with_mask.png,1
359,0_1509_without_mask.png,0
369,0_1519_without_mask.png,0
373,0_1525_with_mask.png,1
378,0_1531_with_mask.png,1
379,0_1533_without_mask.png,0
380,0_1533_with_mask.png,1
387,0_1545_with_mask.png,1
392,0_1550_without_mask.png,0
400,0_1558_without_mask.png,0
402,0_1560_with_mask.png,1
405,0_1567_with_mask.png,1
410,0_1571_with_mask.png,1
412,0_1573_with_mask.png,1
413,0_1574_without_mask.png,0
425,0_1587_with_mask.png,1
428,0_158_without_mask.png,0
432,0_1593_without_mask.png,0
433,0_1593_with_mask.png,1
434,0_1596_without_mask.png,0
438,0_1601_without_mask.png,0
441,0_1608_with_mask.png,1
442,0_1609_with_mask.png,1
445,0_1614_with_mask.png,1
447,0_1618_with_mask.png,1
448,0_1619_without_mask.png,0
449,0_1621_without_mask.png,0
451,0_1622_with_mask.png,1
455,0_1626_without_mask.png,0
462,0_1639_without_mask.png,0
463,0_1643_with_mask.png,1
