,0,1
6325,605_without_mask.png,0
4171,264_with_mask.png,1
5659,300_without_mask.png,0
2318,1423_with_mask.png,1
35,0_1059_without_mask.png,0
1845,120_with_mask.png,1
4206,280_without_mask.png,0
2070,1311_with_mask.png,1
5895,410_without_mask.png,0
1305,0_902_with_mask.png,1
5185,2_354_with_mask.png,1
5104,2_249_without_mask.png,0
6755,800_without_mask.png,0
2861,166_without_mask.png,0
4929,2_1913_without_mask.png,0
3057,1758_without_mask.png,0
5273,2_472_with_mask.png,1
6873,856_with_mask.png,1
1183,0_743_without_mask.png,0
5174,2_340_without_mask.png,0
2927,169_without_mask.png,0
4414,2_1241_without_mask.png,0
2234,1386_with_mask.png,1
2503,1507_without_mask.png,0
5867,396_with_mask.png,1
6488,679_with_mask.png,1
259,0_1381_without_mask.png,0
1886,1229_with_mask.png,1
1604,10_with_mask.png,1
280,0_1404_with_mask.png,1
2892,1683_with_mask.png,1
6305,596_with_mask.png,1
2287,140_without_mask.png,0
4113,238_with_mask.png,1
4701,2_1612_without_mask.png,0
1067,0_589_with_mask.png,1
5484,2_775_with_mask.png,1
1259,0_846_with_mask.png,1
265,0_1390_with_mask.png,1
1096,0_62_without_mask.png,0
1414,1014_with_mask.png,1
6514,690_with_mask.png,1
5308,2_516_with_mask.png,1
6809,825_with_mask.png,1
888,0_2_with_mask.png,1
3958,2180_with_mask.png,1
1426,101_with_mask.png,1
1028,0_537_with_mask.png,1
4028,2238_with_mask.png,1
5281,2_481_without_mask.png,0
7020,923_with_mask.png,1
6011,463_with_mask.png,1
4908,2_1883_without_mask.png,0
5401,2_641_with_mask.png,1
2083,1318_without_mask.png,0
1198,0_760_without_mask.png,0
5856,390_without_mask.png,0
1498,1052_with_mask.png,1
6700,776_without_mask.png,0
785,0_218_with_mask.png,1
15,0_1020_without_mask.png,0
5658,2_with_mask.png,1
6381,630_without_mask.png,0
2950,1709_with_mask.png,1
4910,2_1885_with_mask.png,1
3888,2122_with_mask.png,1
2988,1726_with_mask.png,1
316,0_144_with_mask.png,1
5393,2_62_without_mask.png,0
2095,1323_without_mask.png,0
3722,1_897_without_mask.png,0
1453,1032_without_mask.png,0
7080,950_with_mask.png,1
6579,71_with_mask.png,1
2275,1404_without_mask.png,0
2928,169_with_mask.png,1
4677,2_1579_with_mask.png,1
994,0_46_with_mask.png,1
5538,2_852_with_mask.png,1
6550,706_with_mask.png,1
1057,0_571_with_mask.png,1
4367,2_1174_without_mask.png,0
3911,2141_with_mask.png,1
4630,2_1527_with_mask.png,1
3158,1802_with_mask.png,1
2517,1513_with_mask.png,1
2264,139_with_mask.png,1
5404,2_648_with_mask.png,1
5695,317_without_mask.png,0
786,0_2192_with_mask.png,1
5262,2_451_without_mask.png,0
7174,994_without_mask.png,0
2846,1662_with_mask.png,1
2723,1607_without_mask.png,0
4087,2287_with_mask.png,1
4963,2_198_with_mask.png,1
6810,826_without_mask.png,0
1014,0_521_without_mask.png,0
6728,789_without_mask.png,0
2538,1523_with_mask.png,1
40,0_1064_with_mask.png,1
5405,2_652_without_mask.png,0
4294,2_1073_without_mask.png,0
2961,1714_without_mask.png,0
1129,0_677_without_mask.png,0
1280,0_87_with_mask.png,1
6471,671_without_mask.png,0
7098,959_with_mask.png,1
550,0_1766_without_mask.png,0
908,0_331_with_mask.png,1
4153,256_with_mask.png,1
1396,1006_with_mask.png,1
6505,687_without_mask.png,0
6675,764_with_mask.png,1
4007,221_with_mask.png,1
6365,623_without_mask.png,0
100,0_1142_with_mask.png,1
419,0_1580_without_mask.png,0
1626,1110_without_mask.png,0
6908,872_with_mask.png,1
938,0_377_without_mask.png,0
5681,310_without_mask.png,0
5800,364_with_mask.png,1
3281,1859_without_mask.png,0
6803,822_with_mask.png,1
728,0_2061_with_mask.png,1
3508,1987_with_mask.png,1
6829,836_with_mask.png,1
5592,2_920_with_mask.png,1
1099,0_633_with_mask.png,1
6621,739_with_mask.png,1
